package,vuln_count,cvss_max,has_vuln,has_high_vuln,advisory_ids
sqlparse,6,7.5,1,1,GHSA-27jp-wm6q-gp25;GHSA-2m57-hf25-phgg;GHSA-p5w8-wqhj-9hhf;GHSA-rrm6-wvj7-cwh2;PYSEC-2021-333;PYSEC-2023-87
starlette,13,7.5,1,1,GHSA-2c2j-9gv5-cj73;GHSA-74m5-2c7w-9w3x;GHSA-7f5h-v6xp-fcq8;GHSA-82w8-qh3p-5jfq;GHSA-86qp-5c8j-p5mr;GHSA-f96h-pmfr-66vw;GHSA-jp82-jpqv-5vv3;GHSA-v5gw-mw7f-84px;GHSA-wqp7-x3pw-xc5r;GHSA-x746-7m8f-x49c;PYSEC-2023-48;PYSEC-2023-83;PYSEC-2026-161
filelock,2,6.3,1,0,GHSA-qmgc-5h2g-mvrw;GHSA-w853-jp5j-5j7f
scipy,4,7.8,1,1,GHSA-xp76-357g-9wqq;PYSEC-2019-156;PYSEC-2023-102;PYSEC-2023-114
pathspec,0,,0,0,
azure-core,1,7.5,1,1,GHSA-jm66-cg57-jjv5
regex,0,,0,0,
uvicorn,4,7.5,1,1,GHSA-33c7-2mpw-hg34;GHSA-f97h-2pfx-f59f;PYSEC-2020-150;PYSEC-2020-151
websockets,4,7.5,1,1,GHSA-6g87-ff9q-v847;GHSA-8ch4-58qp-g3mp;PYSEC-2018-79;PYSEC-2021-95
asgiref,0,,0,0,
pyparsing,0,,0,0,
cachetools,0,,0,0,
boto3,0,,0,0,
pydantic-settings,0,,0,0,
jmespath,0,,0,0,
google-api-core,0,,0,0,
grpcio-status,0,,0,0,
more-itertools,0,,0,0,
colorama,0,,0,0,
iniconfig,0,,0,0,
botocore,0,,0,0,
pytest,1,6.8,1,0,GHSA-6w46-j5rx-g56g
distro,0,,0,0,
tabulate,0,,0,0,
opentelemetry-proto,0,,0,0,
proto-plus,0,,0,0,
oauthlib,2,5.7,1,0,GHSA-3pgj-pg6c-r5p7;PYSEC-2022-269
fastapi,3,8.2,1,1,GHSA-8h2j-cgx8-6xv7;PYSEC-2021-100;PYSEC-2024-38
itsdangerous,0,,0,0,
python-multipart,9,8.6,1,1,GHSA-2jv5-9r88-3w3p;GHSA-59g5-xgcq-4qw3;GHSA-5rvq-cxj2-64vf;GHSA-6jv3-5f52-599m;GHSA-mj87-hwqh-73pj;GHSA-pp6c-gr5w-3c5g;GHSA-v9pg-7xvm-68hf;GHSA-vffw-93wf-4j4q;GHSA-wp53-j4wj-2cfg
wcwidth,0,,0,0,
requests-oauthlib,0,,0,0,
babel,2,7.8,1,1,GHSA-h4m5-qpfp-3mpv;PYSEC-2021-421
s3transfer,0,,0,0,
orjson,4,8.0,1,1,GHSA-hx9q-6w63-j58v;GHSA-pwr2-4v36-6qpr;PYSEC-2024-40;PYSEC-2026-107
dnspython,1,5.9,1,0,GHSA-3rq5-2g8h-59hc
