package,in_degree_centrality,out_degree_centrality,structural_metric,structural,pagerank,in_degree_centrality_norm,structural_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
databricks-labs-blueprint,0.00067781,0.00316313,katz,0.00179295,0.00014292,0.00137552,0.00078406,0.00020251,0.00069930,0.28070600,0.14070265,899
hexbytes,0.00090375,0.00000000,katz,0.00198730,0.00014544,0.00183402,0.00114321,0.00022997,0.00095062,0.28035500,0.14065281,900
darabonba-core,0.00112969,0.00361500,katz,0.00212280,0.00014046,0.00229253,0.00139361,0.00017580,0.00113121,0.28011700,0.14062411,901
genai-prices,0.00067781,0.00293719,katz,0.00182169,0.00013461,0.00137552,0.00083717,0.00011206,0.00068171,0.28052300,0.14060236,902
poetry,0.00045188,0.01084501,katz,0.00164240,0.00012862,0.00091701,0.00050585,0.00004692,0.00042507,0.28062100,0.14052303,903
kaitaistruct,0.00090375,0.00000000,katz,0.00192981,0.00013930,0.00183402,0.00103698,0.00016315,0.00088671,0.27982900,0.14035785,904
parsimonious,0.00090375,0.00022594,katz,0.00198730,0.00014544,0.00183402,0.00114321,0.00022997,0.00095062,0.27967100,0.14031081,905
crashtest,0.00045188,0.00000000,katz,0.00165608,0.00016666,0.00091701,0.00053114,0.00046087,0.00059950,0.28000700,0.14030325,906
psycopg-binary,0.00045188,0.00000000,katz,0.00164240,0.00013303,0.00091701,0.00050585,0.00009494,0.00044428,0.28007500,0.14025964,907
pygit2,0.00090375,0.00045188,katz,0.00200386,0.00013271,0.00183402,0.00117382,0.00009137,0.00090589,0.27870700,0.13980644,908
pyrate-limiter,0.00090375,0.00000000,katz,0.00192981,0.00014048,0.00183402,0.00103698,0.00017593,0.00089182,0.27861600,0.13975391,909
nvidia-ml-py,0.00067781,0.00000000,katz,0.00179295,0.00023593,0.00137552,0.00078406,0.00121459,0.00110414,0.27832400,0.13971407,910
azure-mgmt-storage,0.00067781,0.00203344,katz,0.00177926,0.00012753,0.00137552,0.00075877,0.00003511,0.00062349,0.27871100,0.13966725,911
tritonclient,0.00067781,0.00067781,katz,0.00182169,0.00012648,0.00137552,0.00083717,0.00002363,0.00064634,0.27818100,0.13941367,912
pyannote-core,0.00112969,0.00112969,katz,0.00218603,0.00015788,0.00229253,0.00151046,0.00036528,0.00124790,0.27711600,0.13918195,913
plaster,0.00112969,0.00000000,katz,0.00216947,0.00022893,0.00229253,0.00147985,0.00113838,0.00154643,0.27671000,0.13912822,914
eth-keys,0.00090375,0.00225938,katz,0.00198730,0.00014470,0.00183402,0.00114321,0.00022192,0.00094740,0.27730100,0.13912420,915
colorclass,0.00090375,0.00000000,katz,0.00202410,0.00016490,0.00183402,0.00121122,0.00044173,0.00105913,0.27716000,0.13910956,916
datadog,0.00045188,0.00112969,katz,0.00164240,0.00013217,0.00091701,0.00050585,0.00008556,0.00044052,0.27776800,0.13910426,917
rlp,0.00090375,0.00225938,katz,0.00198730,0.00014544,0.00183402,0.00114321,0.00022997,0.00095062,0.27718100,0.13906581,918
github3-py,0.00090375,0.00293719,katz,0.00197224,0.00013170,0.00183402,0.00111539,0.00008039,0.00088105,0.27720300,0.13904202,919
editorconfig,0.00090375,0.00000000,katz,0.00197224,0.00024675,0.00183402,0.00111539,0.00133230,0.00138181,0.27662200,0.13900191,920
awscrt,0.00067781,0.00000000,katz,0.00177926,0.00012855,0.00137552,0.00075877,0.00004614,0.00062791,0.27719000,0.13890895,921
jupyter-console,0.00067781,0.00677813,katz,0.00182169,0.00012738,0.00137552,0.00083717,0.00003345,0.00065027,0.27699400,0.13882214,922
flask-appbuilder,0.00067781,0.01107094,katz,0.00179295,0.00012761,0.00137552,0.00078406,0.00003595,0.00063268,0.27700900,0.13882084,923
lxml-html-clean,0.00067781,0.00022594,katz,0.00177926,0.00020562,0.00137552,0.00075877,0.00088479,0.00096336,0.27654500,0.13875418,924
intervaltree,0.00090375,0.00022594,katz,0.00192981,0.00014082,0.00183402,0.00103698,0.00017967,0.00089332,0.27613800,0.13851566,925
google-cloud-storage-control,0.00067781,0.00429282,katz,0.00180663,0.00012882,0.00137552,0.00080935,0.00004905,0.00064677,0.27584400,0.13824539,926
nvidia-cutlass-dsl,0.00090375,0.00022594,katz,0.00195719,0.00016315,0.00183402,0.00108757,0.00042265,0.00100822,0.27535000,0.13817911,927
jsonlines,0.00067781,0.00022594,katz,0.00179295,0.00013106,0.00137552,0.00078406,0.00007351,0.00064771,0.27512800,0.13788785,928
python-rapidjson,0.00090375,0.00000000,katz,0.00200386,0.00016231,0.00183402,0.00117382,0.00041354,0.00103476,0.27467000,0.13785238,929
alibabacloud-openapi-util,0.00090375,0.00135563,katz,0.00195856,0.00013789,0.00183402,0.00109010,0.00014774,0.00089914,0.27476000,0.13782957,930
tensorstore,0.00090375,0.00045188,katz,0.00197224,0.00013938,0.00183402,0.00111539,0.00016399,0.00091449,0.27434500,0.13762974,931
opentelemetry-instrumentation-grpc,0.00067781,0.00000000,katz,0.00177926,0.00013751,0.00137552,0.00075877,0.00014371,0.00066693,0.27450300,0.13758497,932
astunparse,0.00067781,0.00067781,katz,0.00179295,0.00013123,0.00137552,0.00078406,0.00007531,0.00064842,0.27444400,0.13754621,933
ansible-compat,0.00090375,0.00361500,katz,0.00192981,0.00014005,0.00183402,0.00103698,0.00017126,0.00088995,0.27401000,0.13744998,934
easygui,0.00090375,0.00000000,katz,0.00202410,0.00016490,0.00183402,0.00121122,0.00044173,0.00105913,0.27371800,0.13738856,935
deltalake,0.00045188,0.00000000,katz,0.00165608,0.00012732,0.00091701,0.00053114,0.00003276,0.00042825,0.27422800,0.13732813,936
requests-ntlm,0.00067781,0.00225938,katz,0.00177926,0.00014627,0.00137552,0.00075877,0.00023899,0.00070504,0.27383500,0.13727002,937
runs,0.00090375,0.00022594,katz,0.00202410,0.00020847,0.00183402,0.00121122,0.00091571,0.00124872,0.27312600,0.13718736,938
robotframework,0.00090375,0.00000000,katz,0.00191613,0.00025901,0.00183402,0.00101169,0.00146565,0.00139886,0.27292400,0.13716143,939
pyqt6-sip,0.00090375,0.00000000,katz,0.00200386,0.00034433,0.00183402,0.00117382,0.00239407,0.00182697,0.27231700,0.13707198,940
microsoft-kiota-http,0.00067781,0.00406688,katz,0.00180663,0.00013052,0.00137552,0.00080935,0.00006760,0.00065419,0.27345800,0.13705610,941
elasticsearch,0.00045188,0.00225938,katz,0.00164240,0.00014695,0.00091701,0.00050585,0.00024636,0.00050484,0.27348800,0.13699642,942
usb-devices,0.00158156,0.00000000,katz,0.00264509,0.00018519,0.00320954,0.00235879,0.00066248,0.00189295,0.27209900,0.13699598,943
microsoft-kiota-authentication-azure,0.00067781,0.00519657,katz,0.00180663,0.00013052,0.00137552,0.00080935,0.00006760,0.00065419,0.27329700,0.13697560,944
ast-serialize,0.00045188,0.00000000,katz,0.00165608,0.00015915,0.00091701,0.00053114,0.00037912,0.00056680,0.27323600,0.13690140,945
azure-mgmt-containerregistry,0.00067781,0.00203344,katz,0.00177926,0.00012753,0.00137552,0.00075877,0.00003511,0.00062349,0.27317400,0.13689875,946
libclang,0.00067781,0.00000000,katz,0.00179295,0.00013123,0.00137552,0.00078406,0.00007531,0.00064842,0.27279600,0.13672221,947
ecdsa,0.00045188,0.00022594,katz,0.00164240,0.00016833,0.00091701,0.00050585,0.00047903,0.00059791,0.27277400,0.13668595,948
httpx-ws,0.00090375,0.00203344,katz,0.00194350,0.00013170,0.00183402,0.00106228,0.00008047,0.00086249,0.27237000,0.13661625,949
azure-core-tracing-opentelemetry,0.00067781,0.00000000,katz,0.00182169,0.00013001,0.00137552,0.00083717,0.00006202,0.00066170,0.27211100,0.13638635,950
aiooui,0.00158156,0.00000000,katz,0.00264509,0.00018519,0.00320954,0.00235879,0.00066248,0.00189295,0.27083300,0.13636298,951
typepy,0.00090375,0.00045188,katz,0.00200386,0.00017249,0.00183402,0.00117382,0.00052429,0.00107906,0.27164300,0.13636103,952
blessed,0.00067781,0.00022594,katz,0.00184009,0.00014629,0.00137552,0.00087118,0.00023921,0.00074448,0.27174700,0.13624574,953
uart-devices,0.00158156,0.00000000,katz,0.00264509,0.00018519,0.00320954,0.00235879,0.00066248,0.00189295,0.27050600,0.13619948,954
redshift-connector,0.00045188,0.00000000,katz,0.00164240,0.00012653,0.00091701,0.00050585,0.00002423,0.00041599,0.27193000,0.13617300,955
opentelemetry-resource-detector-azure,0.00067781,0.00135563,katz,0.00182169,0.00013001,0.00137552,0.00083717,0.00006202,0.00066170,0.27163700,0.13614935,956
vcrpy,0.00067781,0.00045188,katz,0.00179295,0.00014489,0.00137552,0.00078406,0.00022395,0.00070788,0.27115300,0.13593044,957
databricks-connect,0.00067781,0.00632625,katz,0.00179295,0.00012943,0.00137552,0.00078406,0.00005574,0.00064060,0.27119600,0.13591830,958
aws-sam-translator,0.00045188,0.00384094,katz,0.00165608,0.00012982,0.00091701,0.00053114,0.00005997,0.00043914,0.27139200,0.13591557,959
reportlab,0.00045188,0.00045188,katz,0.00165608,0.00013857,0.00091701,0.00053114,0.00015520,0.00047723,0.27064900,0.13556312,960
google-cloud-spanner,0.00045188,0.00677813,katz,0.00165608,0.00012760,0.00091701,0.00053114,0.00003583,0.00042948,0.27051400,0.13547174,961
z3-solver,0.00090375,0.00000000,katz,0.00194350,0.00019200,0.00183402,0.00106228,0.00073655,0.00112492,0.26948200,0.13530346,962
mistralai,0.00045188,0.00451875,katz,0.00164240,0.00012618,0.00091701,0.00050585,0.00002037,0.00041445,0.27008900,0.13525172,963
sagemaker-mlflow,0.00090375,0.01084501,katz,0.00200386,0.00012745,0.00183402,0.00117382,0.00003416,0.00088301,0.26953200,0.13520750,964
cuda-bindings,0.00045188,0.00000000,katz,0.00164240,0.00017929,0.00091701,0.00050585,0.00059829,0.00064562,0.26927200,0.13495881,965
pytorch-lightning,0.00067781,0.00429282,katz,0.00182169,0.00013183,0.00137552,0.00083717,0.00008182,0.00066962,0.26911000,0.13488981,966
