package,in_degree_centrality,out_degree_centrality,betweenness,pagerank,in_degree_centrality_norm,betweenness_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
fastjsonschema,0.00587438,0.00000000,0.00000000,0.00020467,0.01192114,0.00000000,0.00087437,0.00333003,0.50659337,0.25585825,267
lark,0.00610032,0.00000000,0.00000000,0.00055341,0.01237964,0.00000000,0.00466903,0.00496252,0.50385641,0.25574553,268
methodtools,0.00971532,0.00045188,0.00000000,0.00015980,0.01971573,0.00000000,0.00038619,0.00508341,0.50327279,0.25554671,269
narwhals,0.00610032,0.00000000,0.00000000,0.00038363,0.01237964,0.00000000,0.00282167,0.00422358,0.50398601,0.25524191,270
pure-eval,0.00587438,0.00000000,0.00000000,0.00025267,0.01192114,0.00000000,0.00139674,0.00353898,0.50421030,0.25482745,271
backports-strenum,0.01016719,0.00000000,0.00000000,0.00017185,0.02063274,0.00000000,0.00051731,0.00536511,0.50114841,0.25470121,272
jupyter-core,0.00632625,0.00045188,0.00000000,0.00023340,0.01283815,0.00000000,0.00118702,0.00368435,0.50345995,0.25456409,273
sympy,0.00542250,0.00022594,0.00000000,0.00041081,0.01100413,0.00000000,0.00311743,0.00399800,0.50278906,0.25446992,274
jaraco-classes,0.00497063,0.00022594,0.00000000,0.00020281,0.01008712,0.00000000,0.00085414,0.00286344,0.50402584,0.25421556,275
secretstorage,0.00497063,0.00112969,0.00000000,0.00017831,0.01008712,0.00000000,0.00058763,0.00275683,0.50371682,0.25397905,276
greenback,0.00971532,0.00090375,0.00000000,0.00015980,0.01971573,0.00000000,0.00038619,0.00508341,0.49967991,0.25375027,277
msal-extensions,0.00564844,0.00248531,0.00000000,0.00021637,0.01146263,0.00000000,0.00100171,0.00326634,0.50232050,0.25367282,278
pip,0.00384094,0.00000000,0.00000000,0.00041243,0.00779459,0.00000000,0.00313497,0.00320263,0.50221854,0.25357284,279
matplotlib-inline,0.00564844,0.00022594,0.00000000,0.00019689,0.01146263,0.00000000,0.00078975,0.00318156,0.50205984,0.25347727,280
apache-airflow-providers-common-io,0.00948938,0.02869408,0.00000003,0.00015874,0.01925722,0.00416089,0.00037463,0.00642047,0.49674585,0.25331175,281
stack-data,0.00564844,0.00067781,0.00000000,0.00019689,0.01146263,0.00000000,0.00078975,0.00318156,0.50052511,0.25270991,282
nltk,0.00632625,0.00090375,0.00000000,0.00020854,0.01283815,0.00000000,0.00091647,0.00357613,0.49790400,0.25170287,283
backports-tarfile,0.00587438,0.00000000,0.00000000,0.00041810,0.01192114,0.00000000,0.00319671,0.00425897,0.49582078,0.25118652,284
opentelemetry-semantic-conventions-ai,0.00813376,0.00135563,0.00000000,0.00046082,0.01650619,0.00000000,0.00366153,0.00559116,0.49356867,0.25108523,285
apache-airflow-core,0.00948938,0.02779033,0.00000000,0.00015870,0.01925722,0.00000000,0.00037426,0.00496401,0.49422750,0.25093222,286
azure-identity,0.00474469,0.00293719,0.00000000,0.00019750,0.00962861,0.00000000,0.00079635,0.00272569,0.49745514,0.25082426,287
svcs,0.00971532,0.00022594,0.00000000,0.00015980,0.01971573,0.00000000,0.00038619,0.00508341,0.49346999,0.25064531,288
